COU_ID;COU_NAME
873;Chile                            
874;Chile                            
875;Chile                            
876;Chile                            
877;Chile                            
878;Chile                            
879;Chile                            
880;Chile                            
881;Chile                            
882;Chile                            
883;Chile                            
884;Chile                            
885;Chile                            
886;Chile                            
887;Chile                            
888;Chile                            
889;Chile                            
890;Chile                            
891;Chile                            
892;Chile                            
893;Chile                            
894;Chile                            
895;Chile                            
896;Chile                            
897;Chile                            
898;Chile                            
899;Chile                            
900;Chile                            
901;Chile                            
902;Chile                            
903;Chile                            
904;Chile                            
905;Chile                            
906;Chile                            
907;Chile                            
908;Chile                            
909;Chile                            
910;Chile                            
911;Chile                            
912;Chile                            
913;Chile                            
914;Chile                            
915;Chile                            
916;Chile                            
917;Chile                            
918;Chile                            
919;Chile                            
920;Chile                            
921;Chile                            
922;Chile                            
923;Chile                            
924;Chile                            
925;Chile                            
926;Chile                            
927;Chile                            
928;Chile                            
929;Chile                            
930;Chile                            
931;Chile                            
932;Chile                            
933;Chile                            
934;Chile                            
935;Chile                            
936;Chile                            
937;Chile                            
938;Chile                            
939;Chile                            
940;Chile                            
941;Chile                            
942;Chile                            
943;Chile                            
944;Chile                            
945;Chile                            
946;Chile                            
947;Chile                            
948;Chile                            
949;Chile                            
950;Chile                            
951;Chile                            
952;Chile                            
953;Chile                            
954;Chile                            
955;Chile                            
956;Chile                            
957;Chile                            
958;Chile                            
959;China                            
960;China                            
961;China                            
962;China                            
963;China                            
964;China                            
965;China                            
966;China                            
967;China                            
968;China                            
969;China                            
970;China                            
971;China                            
972;China                            
973;China                            
974;China                            
975;China                            
976;China                            
977;China                            
978;China                            
979;China                            
980;China                            
981;China                            
982;Cocos Islands                    
983;Coloado                          
984;Colombia                         
985;Colombia                         
986;Colombia                         
987;Colombia                         
988;Colombia                         
989;Colombia                         
990;Colombia                         
991;Colombia                         
992;Colombia                         
993;Colombia                         
994;Colombia                         
995;Colombia                         
996;Colombia                         
997;Colombia                         
998;Colombia                         
999;Colombia                         
1000;Colombia                         
1001;Colombia                         
1002;Colombia                         
1003;Colombia                         
1004;Colombia                         
1005;Colombia                         
1006;Colombia                         
1007;Colombia                         
1008;Colombia                         
1009;Colombia                         
1010;Colombia                         
1011;Colombia                         
1012;Colombia                         
1013;Colombia                         
1014;Colombia                         
1015;Colombia                         
1016;Colombia                         
1017;Colombia                         
1018;Colombia                         
1019;Colombia                         
1020;Colombia                         
1021;Colombia                         
1022;Colombia                         
1023;Colombia                         
1024;Colombia                         
1025;Colombia                         
1026;Colombia                         
1027;Colombia                         
1028;Colombia                         
1029;Colombia                         
1030;Colombia                         
1031;Colombia                         
1032;Colombia                         
1033;Colombia                         
1034;Colombia                         
1035;Colombia                         
1036;Colombia                         
1037;Colombia                         
1038;Colombia                         
1039;Colombia                         
1040;Colombia                         
1041;Colombia                         
1042;Colombia                         
1043;Colombia                         
1044;Colombia                         
1045;Colombia                         
1046;Colombia                         
1047;Colombia                         
1048;Colombia                         
1049;Colombia                         
1050;Colombia                         
1051;Colombia                         
1052;Colombia                         
1053;Colombia                         
1054;Colombia                         
1055;Colombia                         
1056;Colombia                         
1057;Colombia                         
1058;Colombia                         
1059;Colombia                         
1060;Colombia                         
1061;Colombia                         
1062;Colombia                         
1063;Colombia                         
1064;Colombia                         
1065;Colombia                         
1066;Colombia                         
1067;Colombia                         
1068;Colombia                         
1069;Colombia                         
1070;Colombia                         
1071;Colombia                         
1072;Colombia                         
1073;Colombia                         
1074;Colombia                         
1075;Colombia                         
1076;Colombia                         
1077;Colombia                         
1078;Colombia                         
1079;Colorado                         
1080;Columbia                         
1081;Comoro Islands                   
1082;Comoros                          
1083;Comoros                          
1084;Comoros                          
1085;Comoros                          
1086;Comoros                          
1087;Comoros                          
1088;Comoros                          
1089;Comoros                          
1090;Comoros                          
1091;Comoros                          
1092;Comoros                          
1093;Comoros                          
1094;Comoros                          
1095;Comoros                          
1096;Comoros                          
1097;Comoros                          
1098;Comoros                          
1099;Comoros                          
1100;Comoros                          
1101;Comoros                          
1102;Comoros                          
1103;Comoros                          
