PLA_TYPE;Date;Country;PLA_ID
Bell 212                                ;11/03/1975;;352
Bell 214 ST                             ;10/13/1991;Venezuela;353
Bell 214ST helicopter                   ;10/02/1999;Saudi Arabia;354
Bell 222                                ;10/15/2008;Illinois;355
Bell 296B                               ;01/21/1986;Minnesota;356
Bell 407                                ;03/21/2004;Texas;357
Bell 407 / Bell 407                     ;06/29/2008;Arizona;358
Bell 412                                ;05/09/1989;China;359
Bell 412 (helicopter)                   ;11/29/1995;Malaysia;360
Bell 47J-2                              ;04/17/1972;New York;361
Bell BHT-206-B Helicopter               ;08/27/1990;Wisconsin;362
Bell Huey UH-1H                         ;08/06/2008;Thailand;363
Bell UH-1B / Sikorsky CH53A helicopters ;06/23/1967;North Carolina;364
Bell UH-1B Huey Helicopter              ;07/23/1982;California;365
Bell UH-1D / Bell UH1D (helicopters)    ;06/15/1965;Georgia;366
Bell UH-1H                              ;07/11/1984;Philippines;367
Bell UH-1H / Bell UH-1H                 ;02/19/1984;El Salvador;368
Bell UH-1H / Bell UH-1H (helicopter)    ;04/19/1968;South Vietnam;369
Bell UH-1H / Bell UH-1H (helicopters)   ;05/03/1986;Taiwan;370
Bell UH-1H / Bell UH-1H / Bell UH-1H    ;06/25/1968;South Vietnam;371
Bell UH-1N                              ;06/20/2008;Thailand;372
Bell UN-1N Huey                         ;05/29/2008;Panama;373
Black Hawk helicopter                   ;01/13/2005;Colombia;374
Blackburn B-2                           ;10/09/1936;North Yorkshire;375
Blackburn Beverley C Mark 1             ;03/05/1957;England;376
Bleriot 155                             ;08/18/1926;Kent;377
Bleriot Spad 27                         ;06/03/1922;Kent;378
Bleriot Spad 33                         ;09/02/1928;France;379
Bleriot Spad 56                         ;10/31/1928;France;380
Bloch 220                               ;09/01/1941;France;381
Blériot Spad 46                         ;08/27/1923;Romania;382
Blériot Spad 66                         ;12/31/1928;France;383
Boeing  377 Stratocruiser               ;10/16/1956;;384
Boeing - 377-10-29 Stratocruiser        ;11/08/1957;Hawaii;385
Boeing - EC-135K                        ;09/14/1977;New Mexico;386
Boeing - EC-135N                        ;06/13/1971;;387
Boeing 221                              ;05/27/1935;Wyoming;388
Boeing 247                              ;10/10/1933;Indiana;389
Boeing 247D                             ;10/07/1935;Wyoming;390
Boeing 307 Stratoliner                  ;03/18/1939;Washington;391
Boeing 307 Stratoliner B-1              ;10/18/1965;Vietnam;392
Boeing 307B-1 Stratoliner               ;06/27/1974;Khmer Republic;393
Boeing 314A                             ;10/14/1947;800 miles east of Newfoundland;394
Boeing 377 Stratocruiser                ;07/27/1952;Brazil;395
Boeing 377 Stratocruiser 10-26          ;03/26/1955;;396
Boeing 377 Stratocruiser 10-30          ;04/02/1956;Washington;397
Boeing 377 Stratocruiser 10-34          ;09/12/1951;California;398
Boeing 377-10-26 Stratocruiser          ;04/29/1952;Brazil;399
Boeing 40                               ;02/26/1928;Nebraska;400
Boeing 707-123                          ;08/15/1959;New York;401
Boeing 707-321C                         ;01/02/1973;Alberta;402
Boeing 707-321CF                        ;12/26/1968;Alaska;403
